country,state,name,lat,lng,timezone,altitude
AO,,Mussende,-9.95,14.8,Africa/Luanda,920
AO,,Mbanza Kongo,-6.26667,14.23833,Africa/Luanda,531
AO,,Maquela do Zombo,-6.05716,15.10971,Africa/Luanda,904
AO,,Malanje,-9.54015,16.34096,Africa/Luanda,1134
AO,,Lucala,-9.27268,15.25206,Africa/Luanda,708
AO,,Lubalo,-9.15445,19.28136,Africa/Luanda,1227
AO,,Luanda,-8.83682,13.23432,Africa/Luanda,73
AO,,Cunda diá Baze,-8.90769,17.05339,Africa/Luanda,732
AO,,Golungo Alto,-9.13333,14.76667,Africa/Luanda,666
AO,,Dondo,-9.68456,14.42788,Africa/Luanda,59
AO,,Dondo,-9.05,15.31667,Africa/Luanda,1127
AO,,Cuímba,-6.12085,14.62086,Africa/Luanda,536
AO,,Cuilo,-8.23619,19.52566,Africa/Luanda,1059
AO,,Cuango-Luzamba,-9.14583,18.04453,Africa/Luanda,863
AO,,Cazombo,-8.73204,15.37124,Africa/Luanda,997
AO,,Caxito,-8.57848,13.66425,Africa/Luanda,20
AO,,Cangandala,-9.78333,16.43333,Africa/Luanda,1104
AO,,Camabatela,-8.18812,15.37495,Africa/Luanda,1237
AO,,Cacuso,-9.42102,15.74668,Africa/Luanda,1068
AO,,Cabinda,-5.56717,12.19787,Africa/Luanda,3
AO,,Buco Zau,-4.76667,12.55,Africa/Luanda,49
AO,,Belize,-4.65,12.76667,Africa/Luanda,178
AO,,Barra do Dande,-8.47175,13.37011,Africa/Luanda,10
AO,,Bailundo,-9.57499,15.99442,Africa/Luanda,1101
AO,,Gama,-8.5675,13.47639,Africa/Luanda,8
AO,,Xangongo,-16.7444,14.97494,Africa/Luanda,1109
AO,,Alto Hama,-12.23333,15.55,Africa/Luanda,1509
AO,,Virei,-15.727,12.94961,Africa/Luanda,444
AO,,Ucuma,-12.96121,15.05958,Africa/Luanda,1906
AO,,Ucu Seles,-11.41237,14.30663,Africa/Luanda,1035
AO,,Tômbua,-15.80394,11.84485,Africa/Luanda,11
AO,,Sumbe,-11.20605,13.84371,Africa/Luanda,10
AO,,Quipungo,-14.81909,14.53504,Africa/Luanda,1302
AO,,Quibala,-10.73366,14.97995,Africa/Luanda,1284
AO,,Porto Amboim,-10.73251,13.76844,Africa/Luanda,36
AO,,Ondjiva,-17.06667,15.73333,Africa/Luanda,1113
AO,,Nharêa,-11.47512,16.96496,Africa/Luanda,1645
AO,,Mossamedes,-15.19611,12.15222,Africa/Luanda,13
AO,,Mungo,-11.83268,16.23613,Africa/Luanda,1533
AO,,Menongue,-14.6585,17.69099,Africa/Luanda,1355
AO,,Matala,-14.73272,15.03479,Africa/Luanda,1238
AO,,Luquembo,-10.73912,17.71766,Africa/Luanda,1125
AO,,Luena,-11.78333,19.91667,Africa/Luanda,1337
AO,,Lubango,-14.91717,13.4925,Africa/Luanda,1760
AO,,Longonjo,-12.90795,15.24845,Africa/Luanda,1451
AO,,Londuimbali,-12.23712,15.31697,Africa/Luanda,1567
AO,,Lobito,-12.3644,13.53601,Africa/Luanda,4
AO,,Cuíto,-12.38333,16.93333,Africa/Luanda,1715
AO,,Catchiungo,-12.56598,16.22589,Africa/Luanda,1818
AO,,Huambo,-12.77611,15.73917,Africa/Luanda,1716
AO,,Ganda,-13.01592,14.63502,Africa/Luanda,1267
AO,,Gabela,-10.85147,14.37993,Africa/Luanda,1045
AO,,Dombe Grande,-12.95167,13.1025,Africa/Luanda,51
AO,,Cuemba,-12.15,18.08333,Africa/Luanda,1374
AO,,Cubal,-13.03865,14.2455,Africa/Luanda,912
AO,,Conda,-11.10862,14.33621,Africa/Luanda,1039
AO,,Chitembo,-13.55,16.63333,Africa/Luanda,1607
AO,,Chinguar,-12.55708,16.33805,Africa/Luanda,1819
AO,,Cela,-11.42173,15.12345,Africa/Luanda,1308
AO,,Catumbela,-12.43002,13.54677,Africa/Luanda,12
AO,,Catabola,-12.15,17.28333,Africa/Luanda,1531
AO,,Capunda,-11.13333,14.46667,Africa/Luanda,1183
AO,,Camucuio,-14.11667,13.25,Africa/Luanda,670
AO,,Cambundi Catembo,-10.07531,17.55058,Africa/Luanda,1221
AO,,Camacupa,-12.01667,17.48333,Africa/Luanda,1473
AO,,Caluquembe,-13.86667,14.43333,Africa/Luanda,1774
AO,,Calulo,-10.00055,14.89519,Africa/Luanda,995
AO,,Caála,-12.8525,15.56056,Africa/Luanda,1742
AO,,Bocoio,-12.47017,14.13688,Africa/Luanda,972
AO,,Benguela,-12.57674,13.40268,Africa/Luanda,30
AO,,Balombo,-12.35426,14.77232,Africa/Luanda,1203
AO,,Baía Farta,-12.60417,13.19667,Africa/Luanda,18
AO,,Andulo,-11.48676,16.69663,Africa/Luanda,1686
AO,,Cambundi,-7.46856,17.03769,Africa/Luanda,515
AO,,Cafunfo,-8.7672,17.99572,Africa/Luanda,853
AO,,Santa Clara,-10.19156,15.43408,Africa/Luanda,1030
AO,,Quissecula,-11.39223,15.09201,Africa/Luanda,1344
AO,,Cambundi,-10.89481,17.76402,Africa/Luanda,1121
AR,,Zárate,-34.09584,-59.02423,America/Argentina/Buenos_Aires,27
AR,,Colonia Wanda,-25.97337,-54.56304,America/Argentina/Cordoba,207
AR,,Villa Ortúzar,-34.57973,-58.46829,America/Argentina/Buenos_Aires,26
AR,,Villa Ocampo,-28.48689,-59.35423,America/Argentina/Cordoba,64
AR,,Villa Lugano,-34.67907,-58.47263,America/Argentina/Buenos_Aires,19
AR,,Villaguay,-31.86767,-59.02701,America/Argentina/Cordoba,42
AR,,Villa Gesell,-37.26394,-56.97304,America/Argentina/Buenos_Aires,9
AR,,Villa de Mayo,-34.5108,-58.68059,America/Argentina/Buenos_Aires,22
AR,,Tortuguitas,-34.47513,-58.75367,America/Argentina/Buenos_Aires,31
AR,,Tigre,-34.42603,-58.57962,America/Argentina/Buenos_Aires,8
AR,,Tandil,-37.3287,-59.1369,America/Argentina/Buenos_Aires,207
AR,,San Vicente,-26.61667,-54.13333,America/Argentina/Cordoba,603
AR,,Santo Tomé,-28.55104,-56.04125,America/Argentina/Cordoba,67
AR,,Santos Lugares,-34.60306,-58.54074,America/Argentina/Buenos_Aires,25
AR,,Santa Elena,-30.94432,-59.78832,America/Argentina/Cordoba,67
AR,,San Pedro,-33.67918,-59.66633,America/Argentina/Buenos_Aires,30
AR,,San Pedro,-26.6218,-54.10902,America/Argentina/Cordoba,554
AR,,San Luis del Palmar,-27.50766,-58.55625,America/Argentina/Cordoba,61
AR,,San Lorenzo,-28.13442,-58.76685,America/Argentina/Cordoba,63
AR,,San Javier,-30.57781,-59.9317,America/Argentina/Cordoba,27
AR,,San Isidro,-34.46971,-58.52111,America/Argentina/Buenos_Aires,16
AR,,San Antonio de Padua,-34.66267,-58.69819,America/Argentina/Buenos_Aires,20
AR,,Saladas,-28.25504,-58.62386,America/Argentina/Cordoba,74
AR,,Retiro,-34.58333,-58.38333,America/Argentina/Buenos_Aires,7
AR,,Resistencia,-27.46056,-58.98389,America/Argentina/Cordoba,56
AR,,Reconquista,-29.15,-59.65,America/Argentina/Cordoba,50
AR,,Quilmes,-34.72065,-58.25454,America/Argentina/Buenos_Aires,24
AR,,Puerto Rico,-26.8089,-55.02147,America/Argentina/Cordoba,188
AR,,Puerto Iguazú,-25.59912,-54.57355,America/Argentina/Cordoba,177
AR,,Puerto Esperanza,-26.02267,-54.61356,America/Argentina/Cordoba,204
AR,,Puerto Eldorado,-26.40843,-54.69463,America/Argentina/Cordoba,102
AR,,Posadas,-27.36708,-55.89608,America/Argentina/Cordoba,127
AR,,Pontevedra,-34.74947,-58.70158,America/Argentina/Buenos_Aires,20
AR,,Pirané,-25.73271,-59.10989,America/Argentina/Cordoba,65
AR,,Pilar,-34.45867,-58.91398,America/Argentina/Buenos_Aires,27
AR,,Paso de los Libres,-29.71251,-57.08771,America/Argentina/Cordoba,73
AR,,Oberá,-27.48683,-55.11994,America/Argentina/Cordoba,345
AR,,Necochea,-38.5545,-58.73961,America/Argentina/Buenos_Aires,19
AR,,Muñiz,-34.55622,-58.70739,America/Argentina/Buenos_Aires,31
AR,,Morón,-34.65118,-58.62205,America/Argentina/Buenos_Aires,25
AR,,Monte Caseros,-30.2518,-57.63537,America/Argentina/Cordoba,24
AR,,Montecarlo,-26.56849,-54.7579,America/Argentina/Cordoba,197
AR,,Merlo,-34.66536,-58.72744,America/Argentina/Buenos_Aires,13
AR,,Mercedes,-34.65072,-59.43143,America/Argentina/Buenos_Aires,40
AR,,Mercedes,-29.18416,-58.07519,America/Argentina/Cordoba,96
AR,,Haedo,-34.64239,-58.59212,America/Argentina/Buenos_Aires,29
AR,,Mar del Plata,-38.00042,-57.5562,America/Argentina/Buenos_Aires,14
AR,,Luján,-34.5664,-59.11478,America/Argentina/Buenos_Aires,17
AR,,Los Polvorines,-34.50316,-58.70596,America/Argentina/Buenos_Aires,28
AR,,La Plata,-34.92145,-57.95453,America/Argentina/Buenos_Aires,27
AR,,La Paz,-30.74179,-59.64517,America/Argentina/Cordoba,52
AR,,Jardín América,-27.04346,-55.22698,America/Argentina/Cordoba,227
AR,,Ituzaingó,-27.58504,-56.68707,America/Argentina/Cordoba,63
AR,,Hurlingham,-34.5904,-58.62904,America/Argentina/Buenos_Aires,16
AR,,Gualeguaychú,-33.00777,-58.51836,America/Argentina/Cordoba,19
AR,,Gualeguay,-33.14091,-59.31257,America/Argentina/Cordoba,13
AR,,Goya,-29.13995,-59.26343,America/Argentina/Cordoba,42
AR,,Gobernador Virasora,-28.05,-56.03333,America/Argentina/Cordoba,133
AR,,General Pacheco,-34.45256,-58.64312,America/Argentina/Buenos_Aires,13
AR,,General José de San Martín,-26.53643,-59.34138,America/Argentina/Cordoba,62
AR,,Garupá,-27.48315,-55.82924,America/Argentina/Cordoba,81
AR,,Formosa,-26.18489,-58.17313,America/Argentina/Cordoba,67
AR,,Fontana,-27.42039,-59.03731,America/Argentina/Cordoba,49
AR,,Federal,-30.95619,-58.7797,America/Argentina/Cordoba,71
AR,,Esquina,-30.01476,-59.5289,America/Argentina/Cordoba,44
AR,,El Soberbio,-27.29662,-54.19811,America/Argentina/Cordoba,128
AR,,El Palomar,-34.61771,-58.60153,America/Argentina/Buenos_Aires,20
AR,,Don Torcuato,-34.49459,-58.62729,America/Argentina/Buenos_Aires,25
AR,,Dolores,-36.31539,-57.67546,America/Argentina/Buenos_Aires,9
